,0,1,2,3,4,5,6,7,8,9
0,416,9,3,3,33,69,56,33,18,1
1,30,278,7,1,5,45,7,15,3,0
2,6,1,90,0,7,3,0,2,1,0
3,3,0,1,243,13,2,0,1,0,0
4,5,3,0,12,798,2,5,0,4,0
5,63,43,12,1,10,938,34,36,7,1
6,7,1,3,0,0,3,342,0,1,0
7,11,0,2,0,1,25,4,245,1,0
8,4,1,0,0,1,0,0,0,89,0
9,0,3,0,0,0,3,0,0,0,68
